,Unnamed: 0,word,word_occurrences,freqs
279,279,halid,3444,3.2859591589128413e-06
280,280,pecky,5022,4.7915467177875405e-06
281,281,eched,391,3.730575003295357e-07
282,282,musit,1364,1.3014077505101962e-06
283,283,couth,21305,2.0327340267316517e-05
284,284,acron,9144,8.72439330693932e-06
285,285,dynes,135360,0.0001291484993468183
286,286,gothy,0,0.0
287,287,bundy,387794,0.00036999861964908434
288,288,seeps,127531,0.00012167876233894122
289,289,deeps,204492,0.00019510811856109314
290,290,plene,19271,1.83866779765997e-05
291,291,kukus,756,7.213081080540383e-07
292,292,petre,93287,8.90061765556046e-05
293,293,putto,20206,1.927877199912685e-05
294,294,darls,515,4.913672958304627e-07
295,295,warps,134267,0.00012810565574615287
296,296,shoji,64675,6.170714535501975e-05
297,297,emoji,0,0.0
298,298,hiked,201876,0.0001926121635205252
299,299,omits,573061,0.0005467639493512636
300,300,rainy,1568044,0.0014960884272294795
301,301,fills,2315873,0.0022096004922267593
302,302,zines,47782,4.558934394052654e-05
303,303,bores,261605,0.00024960027461306443
304,304,algor,6382,6.089138023281578e-06
305,305,oliva,118229,0.00011280361945386362
306,306,midge,202612,0.00019331438940349845
307,307,vizor,19218,1.8336110080135595e-05
308,308,hafta,31304,2.986749869645981e-05
309,309,mulla,57377,5.474404142303778e-05
310,310,paled,271028,0.00025859086495988085
311,311,kneed,102272,9.75788661731516e-05
312,312,fibre,1342505,0.001280899129104612
313,313,ptish,0,0.0
314,314,redan,29066,2.7732197709918886e-05
315,315,exode,8044,7.674870927495615e-06
316,316,zorro,63857,6.092668234921525e-05
317,317,droll,283878,0.0002708511945742914
318,318,niece,1757145,0.0016765118194796472
319,319,segno,28969,2.7639648918277034e-05
320,320,sceat,2157,2.0580179749637048e-06
321,321,tunes,1336619,0.0012752832302633343
322,322,mompe,345,3.2916838264370796e-07
323,323,radon,353615,0.0003373880510972603
324,324,akkas,1485,1.4168552122490039e-06
325,325,jowly,16733,1.5965143613846855e-05
326,326,gandy,68530,6.538524423934293e-05
327,327,medii,40571,3.870924768764602e-05
328,328,knelt,1618060,0.0015438092557115309
329,329,evoke,1077640,0.001028188451803378
330,330,lowts,177,1.688776919650328e-07
331,331,teaks,4315,4.116990061181449e-06
332,332,bucko,21045,2.0079271341266186e-05
333,333,groks,0,0.0
334,334,leafy,926780,0.000884251228018944
335,335,meses,32099,3.06260171434214e-05
336,336,synes,3004,2.866150207135359e-06
337,337,laths,83946,8.009382333161946e-05
338,338,zedas,0,0.0
339,339,blank,6088207,0.005808826815623482
340,340,japed,2088,1.992184298434963e-06
341,341,voled,0,0.0
342,342,toxic,4213533,0.0040201792545678
343,343,reach,24050192,0.02294655884901636
